"Segundo","Hilo","Tipo","Nominal","Porcentaje","MHz","Uso"
"8,4","0,0","P","1300","232","3016","100"
"8,4","0,1","P","1300","232","3016","100"
"8,4","0,10","E","1300","301","3913","100"
"8,4","0,11","E","1300","301","3913","100"
"8,4","0,2","P","1300","233","3029","100"
"8,4","0,3","P","1300","233","3029","100"
"8,4","0,4","E","1300","300","3900","100"
"8,4","0,5","E","1300","300","3900","100"
"8,4","0,6","E","1300","300","3900","100"
"8,4","0,7","E","1300","300","3900","100"
"8,4","0,8","E","1300","301","3913","100"
"8,4","0,9","E","1300","301","3913","100"
"9,7","0,0","P","1300","226","2938","100"
"9,7","0,1","P","1300","226","2938","100"
"9,7","0,10","E","1300","295","3835","100"
"9,7","0,11","E","1300","295","3835","100"
"9,7","0,2","P","1300","226","2938","100"
"9,7","0,3","P","1300","226","2938","100"
"9,7","0,4","E","1300","291","3783","100"
"9,7","0,5","E","1300","291","3783","100"
"9,7","0,6","E","1300","291","3783","100"
"9,7","0,7","E","1300","291","3783","100"
"9,7","0,8","E","1300","295","3835","100"
"9,7","0,9","E","1300","295","3835","100"
"11","0,0","P","1300","243","3159","94"
"11","0,1","P","1300","243","3159","100"
"11","0,10","E","1300","310","4030","100"
"11","0,11","E","1300","310","4030","100"
"11","0,2","P","1300","243","3159","100"
"11","0,3","P","1300","243","3159","100"
"11","0,4","E","1300","307","3991","100"
"11","0,5","E","1300","307","3991","100"
"11","0,6","E","1300","307","3991","100"
"11","0,7","E","1300","307","3991","100"
"11","0,8","E","1300","310","4030","100"
"11","0,9","E","1300","310","4030","100"
"12,2","0,0","P","1300","236","3068","100"
"12,2","0,1","P","1300","236","3068","94"
"12,2","0,10","E","1300","303","3939","100"
"12,2","0,11","E","1300","303","3939","94"
"12,2","0,2","P","1300","235","3055","100"
"12,2","0,3","P","1300","235","3055","100"
"12,2","0,4","E","1300","300","3900","94"
"12,2","0,5","E","1300","300","3900","100"
"12,2","0,6","E","1300","300","3900","100"
"12,2","0,7","E","1300","300","3900","100"
"12,2","0,8","E","1300","303","3939","100"
"12,2","0,9","E","1300","303","3939","100"
"13,5","0,0","P","1300","232","3016","94"
"13,5","0,1","P","1300","232","3016","100"
"13,5","0,10","E","1300","299","3887","100"
"13,5","0,11","E","1300","299","3887","94"
"13,5","0,2","P","1300","232","3016","100"
"13,5","0,3","P","1300","232","3016","94"
"13,5","0,4","E","1300","298","3874","100"
"13,5","0,5","E","1300","298","3874","100"
"13,5","0,6","E","1300","298","3874","100"
"13,5","0,7","E","1300","298","3874","100"
"13,5","0,8","E","1300","299","3887","100"
"13,5","0,9","E","1300","299","3887","100"
"14,7","0,0","P","1300","206","2678","100"
"14,7","0,1","P","1300","206","2678","100"
"14,7","0,10","E","1300","278","3614","100"
"14,7","0,11","E","1300","278","3614","100"
"14,7","0,2","P","1300","206","2678","100"
"14,7","0,3","P","1300","206","2678","100"
"14,7","0,4","E","1300","278","3614","100"
"14,7","0,5","E","1300","278","3614","100"
"14,7","0,6","E","1300","278","3614","100"
"14,7","0,7","E","1300","278","3614","100"
"14,7","0,8","E","1300","278","3614","100"
"14,7","0,9","E","1300","278","3614","100"
"15,9","0,0","P","1300","198","2574","100"
"15,9","0,1","P","1300","199","2587","100"
"15,9","0,10","E","1300","273","3549","100"
"15,9","0,11","E","1300","273","3549","100"
"15,9","0,2","P","1300","199","2587","100"
"15,9","0,3","P","1300","199","2587","100"
"15,9","0,4","E","1300","273","3549","100"
"15,9","0,5","E","1300","273","3549","94"
"15,9","0,6","E","1300","273","3549","100"
"15,9","0,7","E","1300","273","3549","100"
"15,9","0,8","E","1300","273","3549","94"
"15,9","0,9","E","1300","273","3549","100"
"17,2","0,0","P","1300","195","2535","100"
"17,2","0,1","P","1300","195","2535","100"
"17,2","0,10","E","1300","271","3523","100"
"17,2","0,11","E","1300","271","3523","100"
"17,2","0,2","P","1300","195","2535","100"
"17,2","0,3","P","1300","195","2535","100"
"17,2","0,4","E","1300","270","3510","100"
"17,2","0,5","E","1300","270","3510","100"
"17,2","0,6","E","1300","270","3510","100"
"17,2","0,7","E","1300","270","3510","100"
"17,2","0,8","E","1300","270","3510","100"
"17,2","0,9","E","1300","271","3523","100"
"18,5","0,0","P","1300","199","2587","100"
"18,5","0,1","P","1300","200","2600","100"
"18,5","0,10","E","1300","274","3562","100"
"18,5","0,11","E","1300","274","3562","100"
"18,5","0,2","P","1300","200","2600","100"
"18,5","0,3","P","1300","200","2600","100"
"18,5","0,4","E","1300","274","3562","100"
"18,5","0,5","E","1300","274","3562","100"
"18,5","0,6","E","1300","274","3562","100"
"18,5","0,7","E","1300","274","3562","100"
"18,5","0,8","E","1300","274","3562","100"
"18,5","0,9","E","1300","274","3562","100"
"19,7","0,0","P","1300","187","2431","100"
"19,7","0,1","P","1300","187","2431","100"
"19,7","0,10","E","1300","263","3419","100"
"19,7","0,11","E","1300","263","3419","100"
"19,7","0,2","P","1300","187","2431","100"
"19,7","0,3","P","1300","187","2431","100"
"19,7","0,4","E","1300","263","3419","100"
"19,7","0,5","E","1300","263","3419","100"
"19,7","0,6","E","1300","263","3419","100"
"19,7","0,7","E","1300","263","3419","100"
"19,7","0,8","E","1300","263","3419","100"
"19,7","0,9","E","1300","263","3419","100"
"21","0,0","P","1300","183","2379","100"
"21","0,1","P","1300","183","2379","100"
"21","0,10","E","1300","259","3367","94"
"21","0,11","E","1300","259","3367","100"
"21","0,2","P","1300","183","2379","100"
"21","0,3","P","1300","183","2379","100"
"21","0,4","E","1300","258","3354","100"
"21","0,5","E","1300","258","3354","94"
"21","0,6","E","1300","258","3354","100"
"21","0,7","E","1300","258","3354","100"
"21","0,8","E","1300","259","3367","100"
"21","0,9","E","1300","259","3367","100"
"22,3","0,0","P","1300","194","2522","100"
"22,3","0,1","P","1300","194","2522","100"
"22,3","0,10","E","1300","270","3510","100"
"22,3","0,11","E","1300","270","3510","100"
"22,3","0,2","P","1300","194","2522","100"
"22,3","0,3","P","1300","194","2522","100"
"22,3","0,4","E","1300","269","3497","100"
"22,3","0,5","E","1300","269","3497","94"
"22,3","0,6","E","1300","269","3497","100"
"22,3","0,7","E","1300","269","3497","100"
"22,3","0,8","E","1300","270","3510","100"
"22,3","0,9","E","1300","270","3510","94"
"23,5","0,0","P","1300","188","2444","100"
"23,5","0,1","P","1300","188","2444","100"
"23,5","0,10","E","1300","264","3432","100"
"23,5","0,11","E","1300","264","3432","100"
"23,5","0,2","P","1300","188","2444","100"
"23,5","0,3","P","1300","188","2444","100"
"23,5","0,4","E","1300","263","3419","100"
"23,5","0,5","E","1300","263","3419","100"
"23,5","0,6","E","1300","263","3419","100"
"23,5","0,7","E","1300","263","3419","100"
"23,5","0,8","E","1300","264","3432","100"
"23,5","0,9","E","1300","263","3419","100"
"24,8","0,0","P","1300","196","2548","100"
"24,8","0,1","P","1300","196","2548","100"
"24,8","0,10","E","1300","271","3523","100"
"24,8","0,11","E","1300","271","3523","100"
"24,8","0,2","P","1300","196","2548","100"
"24,8","0,3","P","1300","196","2548","100"
"24,8","0,4","E","1300","271","3523","100"
"24,8","0,5","E","1300","271","3523","100"
"24,8","0,6","E","1300","271","3523","100"
"24,8","0,7","E","1300","271","3523","100"
"24,8","0,8","E","1300","271","3523","100"
"24,8","0,9","E","1300","271","3523","100"
"26","0,0","P","1300","192","2496","100"
"26","0,1","P","1300","192","2496","100"
"26","0,10","E","1300","267","3471","100"
"26","0,11","E","1300","267","3471","100"
"26","0,2","P","1300","192","2496","100"
"26","0,3","P","1300","192","2496","100"
"26","0,4","E","1300","267","3471","100"
"26","0,5","E","1300","267","3471","82"
"26","0,6","E","1300","267","3471","100"
"26","0,7","E","1300","267","3471","100"
"26","0,8","E","1300","267","3471","100"
"26","0,9","E","1300","267","3471","100"
"27,3","0,0","P","1300","196","2548","100"
"27,3","0,1","P","1300","196","2548","100"
"27,3","0,10","E","1300","270","3510","100"
"27,3","0,11","E","1300","270","3510","100"
"27,3","0,2","P","1300","196","2548","100"
"27,3","0,3","P","1300","196","2548","100"
"27,3","0,4","E","1300","270","3510","100"
"27,3","0,5","E","1300","270","3510","100"
"27,3","0,6","E","1300","270","3510","100"
"27,3","0,7","E","1300","270","3510","100"
"27,3","0,8","E","1300","270","3510","100"
"27,3","0,9","E","1300","270","3510","100"
"28,5","0,0","P","1300","183","2379","100"
"28,5","0,1","P","1300","184","2392","100"
"28,5","0,10","E","1300","253","3289","100"
"28,5","0,11","E","1300","253","3289","100"
"28,5","0,2","P","1300","184","2392","100"
"28,5","0,3","P","1300","184","2392","100"
"28,5","0,4","E","1300","259","3367","100"
"28,5","0,5","E","1300","259","3367","100"
"28,5","0,6","E","1300","259","3367","100"
"28,5","0,7","E","1300","259","3367","100"
"28,5","0,8","E","1300","253","3289","100"
"28,5","0,9","E","1300","253","3289","100"
"29,8","0,0","P","1300","174","2262","100"
"29,8","0,1","P","1300","174","2262","100"
"29,8","0,10","E","1300","249","3237","100"
"29,8","0,11","E","1300","249","3237","100"
"29,8","0,2","P","1300","174","2262","100"
"29,8","0,3","P","1300","174","2262","100"
"29,8","0,4","E","1300","249","3237","100"
"29,8","0,5","E","1300","249","3237","100"
"29,8","0,6","E","1300","249","3237","100"
"29,8","0,7","E","1300","249","3237","100"
"29,8","0,8","E","1300","249","3237","100"
"29,8","0,9","E","1300","249","3237","100"
"31,1","0,0","P","1300","176","2288","100"
"31,1","0,1","P","1300","176","2288","100"
"31,1","0,10","E","1300","252","3276","100"
"31,1","0,11","E","1300","252","3276","100"
"31,1","0,2","P","1300","176","2288","100"
"31,1","0,3","P","1300","176","2288","100"
"31,1","0,4","E","1300","252","3276","100"
"31,1","0,5","E","1300","252","3276","100"
"31,1","0,6","E","1300","252","3276","100"
"31,1","0,7","E","1300","252","3276","100"
"31,1","0,8","E","1300","252","3276","100"
"31,1","0,9","E","1300","252","3276","100"
"32,4","0,0","P","1300","154","2002","100"
"32,4","0,1","P","1300","154","2002","100"
"32,4","0,10","E","1300","233","3029","100"
"32,4","0,11","E","1300","233","3029","100"
"32,4","0,2","P","1300","162","2106","100"
"32,4","0,3","P","1300","162","2106","100"
"32,4","0,4","E","1300","233","3029","100"
"32,4","0,5","E","1300","233","3029","100"
"32,4","0,6","E","1300","233","3029","100"
"32,4","0,7","E","1300","233","3029","100"
"32,4","0,8","E","1300","233","3029","100"
"32,4","0,9","E","1300","233","3029","100"
"33,7","0,0","P","1300","169","2197","100"
"33,7","0,1","P","1300","169","2197","100"
"33,7","0,10","E","1300","243","3159","100"
"33,7","0,11","E","1300","243","3159","100"
"33,7","0,2","P","1300","169","2197","100"
"33,7","0,3","P","1300","169","2197","100"
"33,7","0,4","E","1300","243","3159","100"
"33,7","0,5","E","1300","243","3159","100"
"33,7","0,6","E","1300","243","3159","100"
"33,7","0,7","E","1300","243","3159","100"
"33,7","0,8","E","1300","243","3159","100"
"33,7","0,9","E","1300","243","3159","100"
"34,9","0,0","P","1300","163","2119","94"
"34,9","0,1","P","1300","163","2119","100"
"34,9","0,10","E","1300","239","3107","100"
"34,9","0,11","E","1300","239","3107","100"
"34,9","0,2","P","1300","165","2145","100"
"34,9","0,3","P","1300","165","2145","100"
"34,9","0,4","E","1300","238","3094","100"
"34,9","0,5","E","1300","238","3094","100"
"34,9","0,6","E","1300","238","3094","100"
"34,9","0,7","E","1300","238","3094","100"
"34,9","0,8","E","1300","239","3107","100"
"34,9","0,9","E","1300","239","3107","100"
"36,2","0,0","P","1300","150","1950","100"
"36,2","0,1","P","1300","150","1950","100"
"36,2","0,10","E","1300","221","2873","100"
"36,2","0,11","E","1300","221","2873","100"
"36,2","0,2","P","1300","150","1950","100"
"36,2","0,3","P","1300","150","1950","100"
"36,2","0,4","E","1300","219","2847","100"
"36,2","0,5","E","1300","219","2847","100"
"36,2","0,6","E","1300","219","2847","100"
"36,2","0,7","E","1300","219","2847","100"
"36,2","0,8","E","1300","221","2873","100"
"36,2","0,9","E","1300","221","2873","100"
"37,5","0,0","P","1300","160","2080","100"
"37,5","0,1","P","1300","160","2080","100"
"37,5","0,10","E","1300","235","3055","100"
"37,5","0,11","E","1300","235","3055","100"
"37,5","0,2","P","1300","160","2080","100"
"37,5","0,3","P","1300","160","2080","100"
"37,5","0,4","E","1300","233","3029","100"
"37,5","0,5","E","1300","233","3029","100"
"37,5","0,6","E","1300","233","3029","100"
"37,5","0,7","E","1300","233","3029","100"
"37,5","0,8","E","1300","235","3055","100"
"37,5","0,9","E","1300","235","3055","100"
"38,8","0,0","P","1300","152","1976","100"
"38,8","0,1","P","1300","152","1976","100"
"38,8","0,10","E","1300","227","2951","100"
"38,8","0,11","E","1300","227","2951","100"
"38,8","0,2","P","1300","152","1976","100"
"38,8","0,3","P","1300","152","1976","100"
"38,8","0,4","E","1300","225","2925","100"
"38,8","0,5","E","1300","225","2925","100"
"38,8","0,6","E","1300","225","2925","100"
"38,8","0,7","E","1300","225","2925","100"
"38,8","0,8","E","1300","227","2951","100"
"38,8","0,9","E","1300","227","2951","100"
"40,1","0,0","P","1300","168","2184","100"
"40,1","0,1","P","1300","168","2184","100"
"40,1","0,10","E","1300","242","3146","100"
"40,1","0,11","E","1300","242","3146","100"
"40,1","0,2","P","1300","168","2184","100"
"40,1","0,3","P","1300","168","2184","100"
"40,1","0,4","E","1300","240","3120","100"
"40,1","0,5","E","1300","240","3120","100"
"40,1","0,6","E","1300","240","3120","100"
"40,1","0,7","E","1300","240","3120","100"
"40,1","0,8","E","1300","242","3146","100"
"40,1","0,9","E","1300","242","3146","100"
"41,4","0,0","P","1300","152","1976","100"
"41,4","0,1","P","1300","153","1989","100"
"41,4","0,10","E","1300","226","2938","100"
"41,4","0,11","E","1300","226","2938","100"
"41,4","0,2","P","1300","153","1989","100"
"41,4","0,3","P","1300","153","1989","100"
"41,4","0,4","E","1300","222","2886","100"
"41,4","0,5","E","1300","222","2886","100"
"41,4","0,6","E","1300","222","2886","100"
"41,4","0,7","E","1300","222","2886","100"
"41,4","0,8","E","1300","226","2938","100"
"41,4","0,9","E","1300","226","2938","100"
"42,7","0,0","P","1300","169","2197","100"
"42,7","0,1","P","1300","169","2197","100"
"42,7","0,10","E","1300","244","3172","100"
"42,7","0,11","E","1300","244","3172","100"
"42,7","0,2","P","1300","169","2197","100"
"42,7","0,3","P","1300","169","2197","100"
"42,7","0,4","E","1300","243","3159","100"
"42,7","0,5","E","1300","243","3159","100"
"42,7","0,6","E","1300","243","3159","100"
"42,7","0,7","E","1300","243","3159","100"
"42,7","0,8","E","1300","244","3172","100"
"42,7","0,9","E","1300","244","3172","100"
"44","0,0","P","1300","153","1989","100"
"44","0,1","P","1300","153","1989","100"
"44","0,10","E","1300","226","2938","100"
"44","0,11","E","1300","226","2938","100"
"44","0,2","P","1300","153","1989","100"
"44","0,3","P","1300","153","1989","100"
"44","0,4","E","1300","224","2912","100"
"44","0,5","E","1300","224","2912","100"
"44","0,6","E","1300","224","2912","100"
"44","0,7","E","1300","224","2912","100"
"44","0,8","E","1300","226","2938","100"
"44","0,9","E","1300","226","2938","100"
"45,3","0,0","P","1300","166","2158","100"
"45,3","0,1","P","1300","166","2158","100"
"45,3","0,10","E","1300","241","3133","100"
"45,3","0,11","E","1300","241","3133","100"
"45,3","0,2","P","1300","166","2158","100"
"45,3","0,3","P","1300","166","2158","100"
"45,3","0,4","E","1300","241","3133","100"
"45,3","0,5","E","1300","241","3133","100"
"45,3","0,6","E","1300","241","3133","100"
"45,3","0,7","E","1300","241","3133","100"
"45,3","0,8","E","1300","241","3133","100"
"45,3","0,9","E","1300","241","3133","100"
"46,6","0,0","P","1300","154","2002","100"
"46,6","0,1","P","1300","154","2002","100"
"46,6","0,10","E","1300","230","2990","100"
"46,6","0,11","E","1300","230","2990","100"
"46,6","0,2","P","1300","154","2002","100"
"46,6","0,3","P","1300","154","2002","100"
"46,6","0,4","E","1300","230","2990","100"
"46,6","0,5","E","1300","230","2990","100"
"46,6","0,6","E","1300","230","2990","100"
"46,6","0,7","E","1300","230","2990","100"
"46,6","0,8","E","1300","230","2990","100"
"46,6","0,9","E","1300","230","2990","100"
"47,9","0,0","P","1300","167","2171","100"
"47,9","0,1","P","1300","167","2171","100"
"47,9","0,10","E","1300","241","3133","100"
"47,9","0,11","E","1300","241","3133","100"
"47,9","0,2","P","1300","167","2171","100"
"47,9","0,3","P","1300","167","2171","100"
"47,9","0,4","E","1300","241","3133","100"
"47,9","0,5","E","1300","241","3133","100"
"47,9","0,6","E","1300","241","3133","100"
"47,9","0,7","E","1300","241","3133","100"
"47,9","0,8","E","1300","241","3133","100"
"47,9","0,9","E","1300","241","3133","100"
"49,2","0,0","P","1300","153","1989","100"
"49,2","0,1","P","1300","153","1989","100"
"49,2","0,10","E","1300","230","2990","100"
"49,2","0,11","E","1300","230","2990","100"
"49,2","0,2","P","1300","153","1989","100"
"49,2","0,3","P","1300","153","1989","100"
"49,2","0,4","E","1300","226","2938","100"
"49,2","0,5","E","1300","226","2938","100"
"49,2","0,6","E","1300","226","2938","100"
"49,2","0,7","E","1300","226","2938","100"
"49,2","0,8","E","1300","230","2990","100"
"49,2","0,9","E","1300","230","2990","100"
"50,5","0,0","P","1300","156","2028","100"
"50,5","0,1","P","1300","156","2028","100"
"50,5","0,10","E","1300","232","3016","100"
"50,5","0,11","E","1300","232","3016","100"
"50,5","0,2","P","1300","157","2041","100"
"50,5","0,3","P","1300","157","2041","100"
"50,5","0,4","E","1300","232","3016","100"
"50,5","0,5","E","1300","232","3016","100"
"50,5","0,6","E","1300","232","3016","100"
"50,5","0,7","E","1300","232","3016","100"
"50,5","0,8","E","1300","232","3016","100"
"50,5","0,9","E","1300","232","3016","100"
"51,8","0,0","P","1300","158","2054","100"
"51,8","0,1","P","1300","158","2054","100"
"51,8","0,10","E","1300","233","3029","100"
"51,8","0,11","E","1300","233","3029","100"
"51,8","0,2","P","1300","158","2054","100"
"51,8","0,3","P","1300","158","2054","100"
"51,8","0,4","E","1300","230","2990","100"
"51,8","0,5","E","1300","230","2990","100"
"51,8","0,6","E","1300","230","2990","100"
"51,8","0,7","E","1300","230","2990","100"
"51,8","0,8","E","1300","233","3029","100"
"51,8","0,9","E","1300","233","3029","100"
"53,2","0,0","P","1300","158","2054","100"
"53,2","0,1","P","1300","158","2054","100"
"53,2","0,10","E","1300","232","3016","100"
"53,2","0,11","E","1300","232","3016","100"
"53,2","0,2","P","1300","159","2067","100"
"53,2","0,3","P","1300","159","2067","100"
"53,2","0,4","E","1300","229","2977","100"
"53,2","0,5","E","1300","229","2977","100"
"53,2","0,6","E","1300","229","2977","100"
"53,2","0,7","E","1300","229","2977","100"
"53,2","0,8","E","1300","232","3016","100"
"53,2","0,9","E","1300","232","3016","100"
"54,5","0,0","P","1300","172","2236","100"
"54,5","0,1","P","1300","172","2236","100"
"54,5","0,10","E","1300","242","3146","100"
"54,5","0,11","E","1300","242","3146","100"
"54,5","0,2","P","1300","172","2236","100"
"54,5","0,3","P","1300","172","2236","100"
"54,5","0,4","E","1300","243","3159","100"
"54,5","0,5","E","1300","243","3159","100"
"54,5","0,6","E","1300","243","3159","100"
"54,5","0,7","E","1300","243","3159","100"
"54,5","0,8","E","1300","242","3146","100"
"54,5","0,9","E","1300","242","3146","100"
"55,8","0,0","P","1300","155","2015","100"
"55,8","0,1","P","1300","155","2015","100"
"55,8","0,10","E","1300","229","2977","100"
"55,8","0,11","E","1300","229","2977","100"
"55,8","0,2","P","1300","155","2015","100"
"55,8","0,3","P","1300","155","2015","100"
"55,8","0,4","E","1300","231","3003","100"
"55,8","0,5","E","1300","231","3003","100"
"55,8","0,6","E","1300","231","3003","100"
"55,8","0,7","E","1300","231","3003","100"
"55,8","0,8","E","1300","229","2977","100"
"55,8","0,9","E","1300","229","2977","100"
"57,1","0,0","P","1300","171","2223","100"
"57,1","0,1","P","1300","171","2223","100"
"57,1","0,10","E","1300","244","3172","100"
"57,1","0,11","E","1300","244","3172","100"
"57,1","0,2","P","1300","171","2223","100"
"57,1","0,3","P","1300","171","2223","100"
"57,1","0,4","E","1300","244","3172","100"
"57,1","0,5","E","1300","244","3172","100"
"57,1","0,6","E","1300","244","3172","100"
"57,1","0,7","E","1300","244","3172","100"
"57,1","0,8","E","1300","244","3172","100"
"57,1","0,9","E","1300","244","3172","100"
"58,4","0,0","P","1300","154","2002","100"
"58,4","0,1","P","1300","154","2002","100"
"58,4","0,10","E","1300","228","2964","100"
"58,4","0,11","E","1300","228","2964","100"
"58,4","0,2","P","1300","154","2002","100"
"58,4","0,3","P","1300","154","2002","100"
"58,4","0,4","E","1300","228","2964","100"
"58,4","0,5","E","1300","228","2964","100"
"58,4","0,6","E","1300","228","2964","100"
"58,4","0,7","E","1300","228","2964","100"
"58,4","0,8","E","1300","228","2964","100"
"58,4","0,9","E","1300","228","2964","100"
"59,7","0,0","P","1300","159","2067","100"
"59,7","0,1","P","1300","159","2067","100"
"59,7","0,10","E","1300","231","3003","100"
"59,7","0,11","E","1300","231","3003","100"
"59,7","0,2","P","1300","159","2067","100"
"59,7","0,3","P","1300","159","2067","100"
"59,7","0,4","E","1300","232","3016","100"
"59,7","0,5","E","1300","233","3029","100"
"59,7","0,6","E","1300","233","3029","100"
"59,7","0,7","E","1300","233","3029","100"
"59,7","0,8","E","1300","231","3003","100"
"59,7","0,9","E","1300","231","3003","100"
"61","0,0","P","1300","160","2080","100"
"61","0,1","P","1300","160","2080","100"
"61","0,10","E","1300","231","3003","100"
"61","0,11","E","1300","231","3003","100"
"61","0,2","P","1300","163","2119","100"
"61","0,3","P","1300","163","2119","100"
"61","0,4","E","1300","231","3003","100"
"61","0,5","E","1300","231","3003","100"
"61","0,6","E","1300","231","3003","100"
"61","0,7","E","1300","231","3003","100"
"61","0,8","E","1300","231","3003","100"
"61","0,9","E","1300","231","3003","100"
"62,3","0,0","P","1300","155","2015","100"
"62,3","0,1","P","1300","155","2015","100"
"62,3","0,10","E","1300","228","2964","100"
"62,3","0,11","E","1300","228","2964","100"
"62,3","0,2","P","1300","155","2015","100"
"62,3","0,3","P","1300","155","2015","100"
"62,3","0,4","E","1300","228","2964","100"
"62,3","0,5","E","1300","228","2964","100"
"62,3","0,6","E","1300","228","2964","100"
"62,3","0,7","E","1300","228","2964","100"
"62,3","0,8","E","1300","228","2964","100"
"62,3","0,9","E","1300","228","2964","100"
"63,6","0,0","P","1300","171","2223","100"
"63,6","0,1","P","1300","171","2223","100"
"63,6","0,10","E","1300","243","3159","100"
"63,6","0,11","E","1300","243","3159","100"
"63,6","0,2","P","1300","171","2223","100"
"63,6","0,3","P","1300","171","2223","100"
"63,6","0,4","E","1300","242","3146","100"
"63,6","0,5","E","1300","242","3146","100"
"63,6","0,6","E","1300","242","3146","100"
"63,6","0,7","E","1300","242","3146","100"
"63,6","0,8","E","1300","243","3159","100"
"63,6","0,9","E","1300","243","3159","100"
"64,9","0,0","P","1300","156","2028","100"
"64,9","0,1","P","1300","156","2028","100"
"64,9","0,10","E","1300","229","2977","100"
"64,9","0,11","E","1300","229","2977","100"
"64,9","0,2","P","1300","156","2028","100"
"64,9","0,3","P","1300","156","2028","100"
"64,9","0,4","E","1300","229","2977","100"
"64,9","0,5","E","1300","229","2977","100"
"64,9","0,6","E","1300","229","2977","100"
"64,9","0,7","E","1300","229","2977","100"
"64,9","0,8","E","1300","229","2977","100"
"64,9","0,9","E","1300","229","2977","100"
"66,2","0,0","P","1300","159","2067","100"
"66,2","0,1","P","1300","159","2067","100"
"66,2","0,10","E","1300","231","3003","100"
"66,2","0,11","E","1300","231","3003","100"
"66,2","0,2","P","1300","159","2067","100"
"66,2","0,3","P","1300","159","2067","100"
"66,2","0,4","E","1300","232","3016","100"
"66,2","0,5","E","1300","232","3016","100"
"66,2","0,6","E","1300","232","3016","100"
"66,2","0,7","E","1300","232","3016","100"
"66,2","0,8","E","1300","231","3003","100"
"66,2","0,9","E","1300","231","3003","100"
"67,5","0,0","P","1300","168","2184","100"
"67,5","0,1","P","1300","168","2184","100"
"67,5","0,10","E","1300","237","3081","100"
"67,5","0,11","E","1300","237","3081","100"
"67,5","0,2","P","1300","168","2184","100"
"67,5","0,3","P","1300","168","2184","100"
"67,5","0,4","E","1300","235","3055","100"
"67,5","0,5","E","1300","235","3055","100"
"67,5","0,6","E","1300","235","3055","100"
"67,5","0,7","E","1300","235","3055","100"
"67,5","0,8","E","1300","237","3081","100"
"67,5","0,9","E","1300","237","3081","100"
"68,8","0,0","P","1300","157","2041","100"
"68,8","0,1","P","1300","157","2041","100"
"68,8","0,10","E","1300","230","2990","100"
"68,8","0,11","E","1300","230","2990","100"
"68,8","0,2","P","1300","157","2041","100"
"68,8","0,3","P","1300","157","2041","100"
"68,8","0,4","E","1300","231","3003","100"
"68,8","0,5","E","1300","231","3003","100"
"68,8","0,6","E","1300","231","3003","100"
"68,8","0,7","E","1300","231","3003","100"
"68,8","0,8","E","1300","230","2990","100"
"68,8","0,9","E","1300","230","2990","100"
"70,1","0,0","P","1300","165","2145","100"
"70,1","0,1","P","1300","165","2145","100"
"70,1","0,10","E","1300","238","3094","100"
"70,1","0,11","E","1300","238","3094","100"
"70,1","0,2","P","1300","165","2145","100"
"70,1","0,3","P","1300","165","2145","100"
"70,1","0,4","E","1300","237","3081","100"
"70,1","0,5","E","1300","237","3081","100"
"70,1","0,6","E","1300","237","3081","100"
"70,1","0,7","E","1300","237","3081","100"
"70,1","0,8","E","1300","238","3094","100"
"70,1","0,9","E","1300","238","3094","100"
"71,4","0,0","P","1300","154","2002","100"
"71,4","0,1","P","1300","154","2002","100"
"71,4","0,10","E","1300","228","2964","100"
"71,4","0,11","E","1300","228","2964","100"
"71,4","0,2","P","1300","154","2002","100"
"71,4","0,3","P","1300","154","2002","100"
"71,4","0,4","E","1300","228","2964","100"
"71,4","0,5","E","1300","228","2964","100"
"71,4","0,6","E","1300","228","2964","100"
"71,4","0,7","E","1300","228","2964","100"
"71,4","0,8","E","1300","228","2964","100"
"71,4","0,9","E","1300","228","2964","100"
"72,7","0,0","P","1300","157","2041","100"
"72,7","0,1","P","1300","157","2041","100"
"72,7","0,10","E","1300","229","2977","100"
"72,7","0,11","E","1300","229","2977","100"
"72,7","0,2","P","1300","156","2028","100"
"72,7","0,3","P","1300","156","2028","100"
"72,7","0,4","E","1300","229","2977","100"
"72,7","0,5","E","1300","229","2977","100"
"72,7","0,6","E","1300","229","2977","100"
"72,7","0,7","E","1300","229","2977","100"
"72,7","0,8","E","1300","229","2977","100"
"72,7","0,9","E","1300","229","2977","100"
"74","0,0","P","1300","170","2210","100"
"74","0,1","P","1300","170","2210","100"
"74","0,10","E","1300","241","3133","100"
"74","0,11","E","1300","241","3133","100"
"74","0,2","P","1300","170","2210","100"
"74","0,3","P","1300","170","2210","100"
"74","0,4","E","1300","234","3042","100"
"74","0,5","E","1300","234","3042","100"
"74","0,6","E","1300","234","3042","100"
"74","0,7","E","1300","234","3042","100"
"74","0,8","E","1300","241","3133","100"
"74","0,9","E","1300","241","3133","100"
"75,3","0,0","P","1300","158","2054","100"
"75,3","0,1","P","1300","158","2054","100"
"75,3","0,10","E","1300","232","3016","100"
"75,3","0,11","E","1300","232","3016","100"
"75,3","0,2","P","1300","158","2054","100"
"75,3","0,3","P","1300","158","2054","100"
"75,3","0,4","E","1300","231","3003","100"
"75,3","0,5","E","1300","231","3003","100"
"75,3","0,6","E","1300","231","3003","100"
"75,3","0,7","E","1300","231","3003","100"
"75,3","0,8","E","1300","232","3016","100"
"75,3","0,9","E","1300","232","3016","100"
"76,6","0,0","P","1300","163","2119","100"
"76,6","0,1","P","1300","163","2119","100"
"76,6","0,10","E","1300","235","3055","100"
"76,6","0,11","E","1300","235","3055","100"
"76,6","0,2","P","1300","163","2119","100"
